id,titulo,autor,saga,orden_saga,genero,editorial,formato,edicion_especial,detalles_edicion,valoracion_personal,resena_personal,estado,paginas_total,paginas_leidas,fecha_inicio,fecha_fin,tiempo_lectura_min,cita_favorita,etiquetas,imagen_portada_url
LIB0001,Trono de Cristal,Sarah J. Maas,Trono de Cristal,1.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0002,Corona de Medianoche,Sarah J. Maas,Trono de Cristal,2.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0003,Heredera de Fuego,Sarah J. Maas,Trono de Cristal,3.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0004,Reina de Sombras,Sarah J. Maas,Trono de Cristal,4.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0005,Imperio de Tormentas,Sarah J. Maas,Trono de Cristal,5.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0006,Torre del Alba,Sarah J. Maas,Trono de Cristal,6.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0007,Reino de Cenizas,Sarah J. Maas,Trono de Cristal,7.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0008,La Espada de la Asesina,Sarah J. Maas,Trono de Cristal,0.0,Fantasía,,Tapa blanda blanca,1,Tapa blanda blanca,,,Leído,0,0,,,0,,,
LIB0009,Una Corte de Rosas y Espinas,Sarah J. Maas,ACOTAR,1.0,Romantasy,,Tapa dura,1,Tapa dura,,,Leído,0,0,,,0,,,
LIB0010,Una Corte de Niebla y Furia,Sarah J. Maas,ACOTAR,2.0,Romantasy,,Tapa dura,1,Tapa dura,,,Leído,0,0,,,0,,,
LIB0011,Una Corte de Alas y Ruina,Sarah J. Maas,ACOTAR,3.0,Romantasy,,Tapa dura,1,Tapa dura,,,Leído,0,0,,,0,,,
LIB0012,Una Corte de Hielo y Estrellas,Sarah J. Maas,ACOTAR,4.0,Romantasy,,Tapa dura,1,Tapa dura,,,Leído,0,0,,,0,,,
LIB0013,Una Corte de Llamas de Plata,Sarah J. Maas,ACOTAR,5.0,Romantasy,,Tapa dura,1,Tapa dura,,,Leído,0,0,,,0,,,
LIB0014,Casa de Tierra y Sangre,Sarah J. Maas,Crescent City,1.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=Ya0GEQAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0015,Casa de Cielo y Aliento,Sarah J. Maas,Crescent City,2.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=ElmREAAAQBAJ&printsec=frontcover&img=1&zoom=0&source=gbs_api
LIB0016,Casa de Llama y Sombra,Sarah J. Maas,Crescent City,3.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=4BP5EAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0017,Alas de Sangre,Rebecca Yarros,Empíreo,1.0,Romantasy,,Cantos decorados,1,Cantos decorados,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=6PjIEAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0018,Alas de Hierro,Rebecca Yarros,Empíreo,2.0,Romantasy,,Cantos decorados,1,Cantos decorados,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=OJjkEAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0019,La Guerra de la Amapola,R.F. Kuang,The Poppy War,1.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0020,La República del Dragón,R.F. Kuang,The Poppy War,2.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0021,El Dios de la Llama Ardiente,R.F. Kuang,The Poppy War,3.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0022,Babel,R.F. Kuang,,,Histórica,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=FuX8EAAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0023,Yellowface,R.F. Kuang,,,Ficción,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0024,Caraval,Stephanie Garber,Caraval,1.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=6W37DQAAQBAJ&printsec=frontcover&img=1&zoom=0&edge=curl&source=gbs_api
LIB0025,Legendary,Stephanie Garber,Caraval,2.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0026,Finale,Stephanie Garber,Caraval,3.0,Fantasía,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0027,Érase una vez un corazón roto,Stephanie Garber,Destino,1.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0028,La balada de nunca jamás,Stephanie Garber,Destino,2.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0029,La maldición del amor verdadero,Stephanie Garber,Destino,3.0,Romantasy,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
LIB0030,Anhelo,Tracy Wolff,Crave,1.0,Paranormal,,Tapa blanda,0,,,,Leído,0,0,,,0,,,https://books.google.com/books/content?id=ydYKzgEACAAJ&printsec=frontcover&img=1&zoom=0&source=gbs_api
LIB0031,Furia,Tracy Wolff,Crave,2.0,Paranormal,,Tapa blanda,0,,,,Leído,0,0,,,0,,,
